,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPPER A,Lunes,,,,,,Fecha,,9/2/2026,,Fecha,,16/2/2026,,Fecha,,,,Fecha,,,,Fecha,,,,,,,Nivel de Energía,,,,,
,,,,,,,,Nivel Energía,,100,,Nivel Energía,,96,,Nivel Energía,,,,Nivel Energía,,,,Nivel Energía,,,,,,,Días Seguidos De Entrenamiento,,,,Saliendo de día de recuperación,5
,,EJERCICIOS,SETS,RIR,REPS,NOTAS,,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,,,,Aporreamiento,,,,Ningún dolor muscular,3
,,Press De Banca,2,2,6 - 8,Topset 4 - 6 RIR 1,,90,4,1,10,90,5,0,10,,,,,,,,,,,,,,,,Motivacion,,,,Entrenar por obligación,1
,,,,,,,,84,6,1,10,84,7,1,10,,,,,,,,,,,,,,,,Estrés,,,,Estrés moderado,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantidad De Sueño,,,,Menos de 7 horas,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calidad Del Sueño,,,,Sueño reparador,3
,,Remo Con Barra,1,2,6 - 8,,,75,7,1,10,75,8,0,10,,,,,,,,,,,,,,,,Estado Inmune,,,,Ninguno,3
,,,,,,,,70,8,0,10,70,8,0,10,,,,,,,,,,,,,,,,Estado Hormonal,,,,Ambos significativos,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nivel de Preparación,,,,81%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fondos,3,1,6 - 8,,,35,7,1,10,35,8,1,10,,,,,,,,,,,,,,,,CALENTAMIENTO SUPERIOR,,,,,
,,,,,,,,25,7,1,10,35,6,0,10,,,,,,,,,,,,,,,,"10 Ligas sobre Brazos
10 Manguito rotador
10 Pull Apart
10 Flies",,,,,
,,,,,,,,25,6,0,10,25,7,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dominadas,2,1,6 - 8,Supinas,,25,5,0,10,25,4,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,7,1,10,0,8,1,10,,,,,,,,,,,,,,,,CALENTAMIENTO INFERIOR,,,,,
,,,,,,,,0,5,0,10,0,6,0,10,,,,,,,,,,,,,,,,"10 Repeticiones por lado Balanceo de piernas de adelante hacia atrás
10 Repeticiones por lado Balanceo de piernas de lado a lado
10 Extensiones de cadera
10 Movimientos de muñecas",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rompecráneos,2,1,6 - 8,"Barra Z, Agarre Cerrado",,50,7,0,10,60,8,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,50,6,1,10,60,7,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,50,6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
